match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
23706,12.0,3,4302.0,50,23718,0.0005059448520111307,0.00012648621300278268,35.0
24226,35.0,240,0.0,396,24261,0.0014426445735954824,0.009892419933226166,121.0
1199991,703.0,992,5486673.0,2958,1200694,0.0005854947222189834,0.0008261888541127048,1263.0
20605,27.0,146,5125.0,194,20632,0.0013086467623109731,0.0070763861962000775,21.0
71661,64.0,82,72048.0,528,71725,0.0008922969675845242,0.0011432554897176717,382.0
2386584,1382.0,1687,15692296.0,6355,2387966,0.0005787352081227287,0.000706458969683823,3286.0
1591773,533.0,848,8528784.0,2695,1592306,0.0003347346552735467,0.0005325609524802394,1314.0
5828,10.0,187,11591.0,465,5838,0.0017129153819801302,0.03203151764302843,268.0
1679097,1058.0,1233,2511878.0,3543,1680155,0.0006297038070892268,0.000733860864027426,1252.0
663523,581.0,565,1069151.0,1571,664104,0.000874862973269247,0.0008507703612687169,425.0
1715426,1099.0,949,8430668.0,4087,1716525,0.0006402470106756383,0.0005528611584451144,2039.0
21753,47.0,296,0.0,619,21800,0.0021559633027522936,0.013577981651376147,276.0
16339,224.0,885,291.0,1705,16563,0.013524120026565235,0.05343234921209926,596.0
495965,289.0,321,1250820.0,1387,496254,0.0005823630640760578,0.0006468461715170054,777.0
636656,116.0,434,1932045.0,1021,636772,0.0001821688139553875,0.0006815626315227429,471.0
65465,20.0,127,6936.0,228,65485,0.000305413453462625,0.0019393754294876689,81.0
5205,6.0,51,6728.0,65,5211,0.0011514104778353484,0.00978698906160046,8.0
245448,179.0,146,377162.0,563,245627,0.000728747246841756,0.0005943971957480244,238.0
19410,82.0,97,17875.0,263,19492,0.004206854093987277,0.004976400574594706,84.0
6036,98.0,45,36462.0,229,6134,0.015976524290837953,0.007336159113139876,86.0
36082,21.0,232,10144.0,354,36103,0.0005816691133700801,0.00642605877627898,101.0
192975,302.0,310,278183.0,1057,193277,0.0015625242527564065,0.0016039156236903511,445.0
22747,55.0,446,96.0,643,22802,0.0024120691167441454,0.019559687746688887,142.0
60136,32.0,148,2.0,260,60168,0.0005318441696582901,0.0024597792846695918,80.0
37788,92.0,169,2766.0,1458,37880,0.0024287222808870115,0.004461457233368532,1197.0
56077,166.0,194,16936.0,2279,56243,0.002951478406201661,0.0034493181373682056,1919.0
69513,54.0,155,17468.0,587,69567,0.0007762301091034542,0.002228067905759915,378.0
12077,413.0,440,1839.0,1439,12490,0.03306645316253003,0.03522818254603683,586.0
6347,2.0,286,5901.0,336,6349,0.00031501023783272954,0.04504646401008033,48.0
